student_key,year,student_code,display_name,grade,school,target_school,live_or_replay,old_new,signup_date,signup_lateness,n_subjects,subject_ids,same_person_key
2568-1035,2568,1035,น้องเจได 1035,ม.2,อื่นๆ,TU,สด,new,2025-04-21,1,2,1;6,
2568-1036,2568,1036,น้องอิง 1036,ม.2,อื่นๆ,MWIT,เทป,new,2025-03-22,0,4,1;4;5;6,
2568-1037,2568,1037,น้องมายด์ 1037,ม.1,อื่นๆ,TU,เทป,new,2025-03-15,0,3,1;5;6,
2568-1038,2568,1038,น้องเจได 1038,ม.3,สาธิตปทุมวัน,MWIT,เทป,new,2025-03-14,0,3,1;4;6,
2568-1039,2568,1039,น้องเฟิร์น 1039,ม.3,หาดใหญ่วิทยาลัย,TU,สด,old,2025-05-20,2,3,4;5;6,
2568-1040,2568,1040,น้องน้ำหวาน 1040,ม.1,อื่นๆ,TU,เทป,new,2025-03-15,0,3,1;5;6,
2568-1041,2568,1041,น้องน้ำหวาน 1041,ม.2,อื่นๆ,KVIS,สด,new,2025-03-06,0,4,1;4;5;6,
2568-1042,2568,1042,น้องกันต์ 1042,ม.1,อื่นๆ,TU,สด,new,2025-04-15,1,4,1;4;5;6,
2568-1043,2568,1043,น้องเจได 1043,ม.2,อื่นๆ,TU,สด,new,2025-03-20,0,4,1;4;5;6,
2568-1044,2568,1044,น้องกันต์ 1044,ม.3,อื่นๆ,MWIT,สด,new,2025-03-01,0,2,1;5,
2568-1045,2568,1045,น้องพลอย 1045,ม.3,อื่นๆ,KVIS,สด,old,2025-03-23,0,4,1;4;5;6,
2568-1046,2568,1046,น้องไอซ์ 1046,ม.3,อื่นๆ,TU,สด,new,2025-03-12,0,4,1;4;5;6,
2568-1047,2568,1047,น้องแพรวา 1047,ม.2,อื่นๆ,KVIS,เทป,old,2025-03-16,0,4,1;4;5;6,
2568-1048,2568,1048,น้องไทเกอร์ 1048,ม.2,สาธิตปทุมวัน,TU,สด,new,2025-03-09,0,3,1;5;6,
2568-1049,2568,1049,น้องอิง 1049,ม.2,อื่นๆ,อื่นๆ,สด,new,2025-03-08,0,3,4;5;6,
2568-1050,2568,1050,น้องต้นน้ำ 1050,ม.3,สาธิตปทุมวัน,TU,สด,new,2025-03-22,0,4,1;4;5;6,
2568-1051,2568,1051,น้องเจได 1051,ม.2,หาดใหญ่วิทยาลัย,KVIS,สด,new,2025-03-04,0,2,5;6,
2568-1052,2568,1052,น้องไทเกอร์ 1052,ม.3,อื่นๆ,อื่นๆ,เทป,old,2025-03-18,0,4,1;4;5;6,
2568-1053,2568,1053,น้องโอม 1053,ม.3,อื่นๆ,TU,สด,new,2025-03-02,0,2,1;4,
2568-1054,2568,1054,น้องไอซ์ 1054,ม.2,อื่นๆ,MWIT,สด,new,2025-04-23,1,3,1;4;5,
2568-1055,2568,1055,น้องภีม 1055,ม.3,หาดใหญ่วิทยาลัย,MWIT,เทป,new,2025-03-25,0,4,1;4;5;6,
2568-1056,2568,1056,น้องไอซ์ 1056,ม.2,สวนกุหลาบ,KVIS,สด,new,2025-03-08,0,4,1;4;5;6,
2568-1057,2568,1057,น้องโอม 1057,ม.3,อื่นๆ,MWIT,สด,new,2025-03-04,0,4,1;4;5;6,
2568-1058,2568,1058,น้องมายด์ 1058,ม.1,อื่นๆ,MWIT,สด,new,2025-03-01,0,2,1;4,
2568-1059,2568,1059,น้องต้นน้ำ 1059,ม.2,อื่นๆ,MWIT,สด,new,2025-04-18,1,3,1;4;5,
2568-1060,2568,1060,น้องแพรวา 1060,ม.2,อื่นๆ,อื่นๆ,สด,old,2025-05-07,2,2,1;5,
2568-1061,2568,1061,น้องภีม 1061,ม.3,สวนกุหลาบ,TU,สด,new,2025-03-20,0,4,1;4;5;6,
2568-1062,2568,1062,น้องพลอย 1062,ม.3,หาดใหญ่วิทยาลัย,TU,เทป,old,2025-05-01,2,3,1;4;5,
2568-1063,2568,1063,น้องน้ำหวาน 1063,ม.3,อื่นๆ,KVIS,สด,old,2025-05-11,2,4,1;4;5;6,
2568-1064,2568,1064,น้องกันต์ 1064,ม.2,บดินทรเดชา,KVIS,สด,new,2025-03-11,0,2,1;4,
2568-1065,2568,1065,น้องภูมิ 1065,ม.2,สวนกุหลาบ,TU,สด,old,2025-05-09,2,2,5;6,
2568-1066,2568,1066,น้องอิง 1066,ม.2,อื่นๆ,อื่นๆ,เทป,new,2025-03-19,0,4,1;4;5;6,
2568-1067,2568,1067,น้องน้ำหวาน 1067,ม.1,หาดใหญ่วิทยาลัย,KVIS,สด,new,2025-05-25,2,4,1;4;5;6,
2568-1068,2568,1068,น้องมายด์ 1068,ม.3,สวนกุหลาบ,อื่นๆ,สด,new,2025-03-10,0,3,1;4;6,
2568-1069,2568,1069,น้องปราง 1069,ม.3,อื่นๆ,KVIS,สด,old,2025-03-17,0,4,1;4;5;6,
2568-1070,2568,1070,น้องภีม 1070,ม.3,อื่นๆ,KVIS,เทป,new,2025-03-23,0,3,1;5;6,
2568-1071,2568,1071,น้องโอม 1071,ม.2,หาดใหญ่วิทยาลัย,TU,เทป,new,2025-03-04,0,3,1;4;5,
2568-1072,2568,1072,น้องเฟิร์น 1072,ม.3,บดินทรเดชา,TU,สด,new,2025-03-03,0,2,4;6,
2568-1073,2568,1073,น้องไทเกอร์ 1073,ม.3,อื่นๆ,TU,เทป,new,2025-04-02,1,4,1;4;5;6,
2568-1074,2568,1074,น้องกันต์ 1074,ม.1,สวนกุหลาบ,KVIS,สด,new,2025-03-08,0,4,1;4;5;6,
2568-1075,2568,1075,น้องภูมิ 1075,ม.3,บดินทรเดชา,MWIT,สด,new,2025-03-20,0,2,4;5,
2568-1076,2568,1076,น้องโอม 1076,ม.2,อื่นๆ,KVIS,สด,old,2025-03-06,0,4,1;4;5;6,
2568-1077,2568,1077,น้องโอม 1077,ม.1,สาธิตปทุมวัน,MWIT,สด,old,2025-04-08,1,4,1;4;5;6,
2568-1078,2568,1078,น้องไทเกอร์ 1078,ม.2,สาธิตปทุมวัน,TU,เทป,new,2025-05-02,2,4,1;4;5;6,
2568-1079,2568,1079,น้องแพรวา 1079,ม.2,อื่นๆ,TU,สด,new,2025-04-04,1,4,1;4;5;6,
2568-1080,2568,1080,น้องภีม 1080,ม.3,บดินทรเดชา,KVIS,สด,old,2025-04-16,1,4,1;4;5;6,
2568-1081,2568,1081,น้องกันต์ 1081,ม.2,อื่นๆ,TU,เทป,new,2025-04-07,1,4,1;4;5;6,
2568-1082,2568,1082,น้องอิง 1082,ม.3,หาดใหญ่วิทยาลัย,MWIT,เทป,new,2025-05-05,2,4,1;4;5;6,
2568-1083,2568,1083,น้องน้ำหวาน 1083,ม.2,อื่นๆ,MWIT,สด,new,2025-06-04,3,2,5;6,
2568-1084,2568,1084,น้องปราง 1084,ม.2,อื่นๆ,TU,เทป,old,2025-03-20,0,4,1;4;5;6,
2568-1085,2568,1085,น้องต้นน้ำ 1085,ม.3,บดินทรเดชา,KVIS,สด,new,2025-05-10,2,4,1;4;5;6,
2568-1086,2568,1086,น้องกันต์ 1086,ม.2,อื่นๆ,MWIT,เทป,new,2025-03-21,0,2,1;4,
2568-1087,2568,1087,น้องไทเกอร์ 1087,ม.3,อื่นๆ,MWIT,สด,old,2025-03-16,0,4,1;4;5;6,
2568-1088,2568,1088,น้องแพรวา 1088,ม.2,บดินทรเดชา,TU,เทป,new,2025-04-23,1,4,1;4;5;6,
2568-1089,2568,1089,น้องโอม 1089,ม.3,สาธิตปทุมวัน,อื่นๆ,เทป,new,2025-05-09,2,2,1;6,
2568-1090,2568,1090,น้องกันต์ 1090,ม.1,อื่นๆ,MWIT,สด,new,2025-03-06,0,4,1;4;5;6,
2568-1091,2568,1091,น้องแพรวา 1091,ม.1,บดินทรเดชา,MWIT,สด,old,2025-04-13,1,2,1;5,
2568-1092,2568,1092,น้องต้นน้ำ 1092,ม.3,อื่นๆ,KVIS,สด,new,2025-03-14,0,2,5;6,
2568-1093,2568,1093,น้องเจได 1093,ม.2,อื่นๆ,TU,สด,new,2025-03-23,0,3,1;4;6,
2568-1094,2568,1094,น้องไอซ์ 1094,ม.1,บดินทรเดชา,MWIT,เทป,new,2025-03-12,0,3,1;4;5,
2568-1095,2568,1095,น้องมายด์ 1095,ม.2,สวนกุหลาบ,MWIT,สด,new,2025-03-10,0,4,1;4;5;6,
2568-1096,2568,1096,น้องมายด์ 1096,ม.2,สวนกุหลาบ,อื่นๆ,สด,old,2025-03-12,0,4,1;4;5;6,
2568-1097,2568,1097,น้องภูมิ 1097,ม.2,หาดใหญ่วิทยาลัย,KVIS,สด,old,2025-03-05,0,2,4;5,
2568-1098,2568,1098,น้องพลอย 1098,ม.3,อื่นๆ,อื่นๆ,สด,new,2025-03-09,0,2,1;4,
2568-1099,2568,1099,น้องคุน 1099,ม.2,อื่นๆ,MWIT,สด,new,2025-03-03,0,4,1;4;5;6,
2568-1100,2568,1100,น้องแพรวา 1100,ม.2,หาดใหญ่วิทยาลัย,TU,สด,new,2025-04-24,1,3,1;4;5,
2568-1101,2568,1101,น้องต้นน้ำ 1101,ม.3,สวนกุหลาบ,KVIS,สด,new,2025-03-12,0,2,5;6,
2568-1102,2568,1102,น้องภูมิ 1102,ม.3,อื่นๆ,KVIS,สด,new,2025-03-07,0,3,4;5;6,
2568-1103,2568,1103,น้องอิง 1103,ม.3,บดินทรเดชา,MWIT,สด,new,2025-04-21,1,4,1;4;5;6,
2568-1104,2568,1104,น้องภูมิ 1104,ม.3,หาดใหญ่วิทยาลัย,TU,สด,new,2025-03-06,0,4,1;4;5;6,
2568-1105,2568,1105,น้องคุน 1105,ม.3,อื่นๆ,KVIS,เทป,new,2025-03-13,0,3,4;5;6,
2568-1106,2568,1106,น้องอิง 1106,ม.3,สวนกุหลาบ,MWIT,สด,old,2025-03-18,0,4,1;4;5;6,
2568-1107,2568,1107,น้องปราง 1107,ม.3,อื่นๆ,KVIS,เทป,new,2025-06-24,3,4,1;4;5;6,
2568-1108,2568,1108,น้องภูมิ 1108,ม.1,สวนกุหลาบ,TU,สด,new,2025-03-21,0,3,4;5;6,
2568-1109,2568,1109,น้องโอม 1109,ม.1,อื่นๆ,MWIT,สด,new,2025-03-05,0,3,1;5;6,
2568-1110,2568,1110,น้องเฟิร์น 1110,ม.3,บดินทรเดชา,KVIS,สด,new,2025-04-21,1,3,4;5;6,
2568-1111,2568,1111,น้องปราง 1111,ม.3,บดินทรเดชา,TU,เทป,new,2025-03-19,0,4,1;4;5;6,
2568-1112,2568,1112,น้องกันต์ 1112,ม.3,สาธิตปทุมวัน,TU,สด,old,2025-03-15,0,4,1;4;5;6,
2568-1113,2568,1113,น้องโอม 1113,ม.2,หาดใหญ่วิทยาลัย,MWIT,เทป,new,2025-06-13,3,4,1;4;5;6,
2568-1114,2568,1114,น้องต้นน้ำ 1114,ม.3,อื่นๆ,TU,สด,old,2025-04-02,1,4,1;4;5;6,
2568-1115,2568,1115,น้องเฟิร์น 1115,ม.2,อื่นๆ,MWIT,สด,new,2025-06-08,3,4,1;4;5;6,
2568-1116,2568,1116,น้องต้นน้ำ 1116,ม.2,หาดใหญ่วิทยาลัย,MWIT,สด,new,2025-05-20,2,2,1;5,
2568-1117,2568,1117,น้องกันต์ 1117,ม.3,หาดใหญ่วิทยาลัย,MWIT,สด,new,2025-03-04,0,4,1;4;5;6,
2568-1118,2568,1118,น้องเฟิร์น 1118,ม.2,สาธิตปทุมวัน,MWIT,เทป,new,2025-03-05,0,4,1;4;5;6,
2568-1119,2568,1119,น้องแพรวา 1119,ม.2,อื่นๆ,MWIT,สด,new,2025-04-10,1,4,1;4;5;6,
2568-1120,2568,1120,น้องโอม 1120,ม.3,อื่นๆ,TU,เทป,new,2025-06-23,3,3,1;4;6,
2568-1121,2568,1121,น้องอิง 1121,ม.3,อื่นๆ,KVIS,สด,new,2025-04-14,1,4,1;4;5;6,
2568-1122,2568,1122,น้องภีม 1122,ม.1,บดินทรเดชา,อื่นๆ,สด,new,2025-03-07,0,4,1;4;5;6,
2568-1123,2568,1123,น้องเจได 1123,ม.2,อื่นๆ,TU,เทป,old,2025-03-07,0,4,1;4;5;6,
2568-1124,2568,1124,น้องโอม 1124,ม.3,บดินทรเดชา,TU,สด,old,2025-03-11,0,4,1;4;5;6,
2568-1125,2568,1125,น้องพลอย 1125,ม.3,สาธิตปทุมวัน,TU,สด,new,2025-03-04,0,4,1;4;5;6,
2568-1126,2568,1126,น้องกันต์ 1126,ม.3,อื่นๆ,MWIT,เทป,new,2025-04-16,1,4,1;4;5;6,
2568-1127,2568,1127,น้องไทเกอร์ 1127,ม.2,อื่นๆ,MWIT,สด,new,2025-05-02,2,4,1;4;5;6,
2568-1128,2568,1128,น้องภูมิ 1128,ม.2,สาธิตปทุมวัน,MWIT,สด,new,2025-04-16,1,2,1;4,
2568-1129,2568,1129,น้องปราง 1129,ม.1,อื่นๆ,อื่นๆ,สด,new,2025-04-08,1,4,1;4;5;6,
2568-1130,2568,1130,น้องคุน 1130,ม.3,บดินทรเดชา,TU,สด,new,2025-03-21,0,3,4;5;6,
2568-1131,2568,1131,น้องเฟิร์น 1131,ม.3,อื่นๆ,KVIS,เทป,new,2025-03-01,0,4,1;4;5;6,
2568-1132,2568,1132,น้องพลอย 1132,ม.2,อื่นๆ,MWIT,สด,new,2025-03-18,0,4,1;4;5;6,
2568-1133,2568,1133,น้องภูมิ 1133,ม.3,อื่นๆ,TU,สด,new,2025-03-15,0,4,1;4;5;6,
2568-1134,2568,1134,น้องปราง 1134,ม.2,สวนกุหลาบ,อื่นๆ,เทป,old,2025-04-18,1,4,1;4;5;6,
2568-1135,2568,1135,น้องคุน 1135,ม.3,อื่นๆ,KVIS,สด,old,2025-03-17,0,4,1;4;5;6,
2568-1136,2568,1136,น้องแพรวา 1136,ม.3,สวนกุหลาบ,TU,สด,new,2025-05-08,2,3,1;5;6,
2568-1137,2568,1137,น้องอิง 1137,ม.2,อื่นๆ,อื่นๆ,เทป,new,2025-03-02,0,4,1;4;5;6,
2568-1138,2568,1138,น้องต้นน้ำ 1138,ม.3,สวนกุหลาบ,TU,สด,new,2025-04-18,1,4,1;4;5;6,
2568-1139,2568,1139,น้องกันต์ 1139,ม.2,บดินทรเดชา,MWIT,สด,new,2025-03-23,0,4,1;4;5;6,
2568-1140,2568,1140,น้องมายด์ 1140,ม.3,อื่นๆ,TU,เทป,old,2025-03-07,0,3,1;4;6,
2568-1141,2568,1141,น้องภูมิ 1141,ม.2,สาธิตปทุมวัน,MWIT,เทป,new,2025-03-06,0,3,1;4;5,
2568-1142,2568,1142,น้องมายด์ 1142,ม.2,อื่นๆ,TU,เทป,new,2025-03-10,0,4,1;4;5;6,
2568-1143,2568,1143,น้องไทเกอร์ 1143,ม.3,บดินทรเดชา,TU,สด,old,2025-03-17,0,3,1;4;5,
2568-1144,2568,1144,น้องปราง 1144,ม.3,สวนกุหลาบ,MWIT,เทป,new,2025-03-03,0,2,1;6,
2568-1145,2568,1145,น้องปราง 1145,ม.1,บดินทรเดชา,อื่นๆ,เทป,new,2025-03-03,0,4,1;4;5;6,
2568-1146,2568,1146,น้องปราง 1146,ม.3,อื่นๆ,MWIT,สด,old,2025-03-13,0,3,1;4;6,
2568-1147,2568,1147,น้องเฟิร์น 1147,ม.3,สวนกุหลาบ,MWIT,เทป,new,2025-03-21,0,4,1;4;5;6,
2568-1148,2568,1148,น้องภูมิ 1148,ม.3,บดินทรเดชา,TU,สด,old,2025-03-19,0,3,1;4;5,
2568-1149,2568,1149,น้องเฟิร์น 1149,ม.3,อื่นๆ,TU,เทป,new,2025-06-09,3,3,4;5;6,
2568-1150,2568,1150,น้องภูมิ 1150,ม.2,สาธิตปทุมวัน,TU,สด,new,2025-03-03,0,3,1;5;6,
2568-1151,2568,1151,น้องปราง 1151,ม.3,สวนกุหลาบ,อื่นๆ,สด,new,2025-03-19,0,3,1;4;6,
2568-1152,2568,1152,น้องเฟิร์น 1152,ม.3,อื่นๆ,TU,สด,new,2025-03-21,0,4,1;4;5;6,
2568-1153,2568,1153,น้องภูมิ 1153,ม.2,สาธิตปทุมวัน,MWIT,สด,new,2025-04-06,1,4,1;4;5;6,
2568-1154,2568,1154,น้องภีม 1154,ม.3,สวนกุหลาบ,TU,เทป,new,2025-04-19,1,2,4;6,
2568-1155,2568,1155,น้องเจได 1155,ม.2,สวนกุหลาบ,KVIS,เทป,new,2025-03-14,0,3,1;4;5,
2568-1156,2568,1156,น้องต้นน้ำ 1156,ม.3,หาดใหญ่วิทยาลัย,MWIT,สด,new,2025-03-17,0,4,1;4;5;6,
2568-1157,2568,1157,น้องเจได 1157,ม.1,อื่นๆ,อื่นๆ,สด,new,2025-03-02,0,4,1;4;5;6,
2568-1158,2568,1158,น้องแพรวา 1158,ม.2,อื่นๆ,MWIT,สด,new,2025-03-12,0,4,1;4;5;6,
2568-1159,2568,1159,น้องคุน 1159,ม.3,อื่นๆ,MWIT,สด,new,2025-04-11,1,3,1;4;6,
2568-1160,2568,1160,น้องมายด์ 1160,ม.3,สวนกุหลาบ,MWIT,เทป,old,2025-04-08,1,4,1;4;5;6,
uuid-2569-2001,2569,2001,น้องแพรวา 2001,ม.2,บดินทรเดชา,TU,สด,old,2026-03-01,0,2,4;5,
uuid-2569-2002,2569,2002,น้องน้ำหวาน 2002,ม.3,อื่นๆ,TU,สด,new,2026-03-21,0,4,1;4;5;6,
uuid-2569-2003,2569,2003,น้องแพรวา 2003,ม.2,หาดใหญ่วิทยาลัย,TU,สด,new,2026-03-03,0,4,1;4;5;6,
uuid-2569-2004,2569,2004,น้องไอซ์ 2004,ม.2,อื่นๆ,KVIS,สด,new,2026-03-25,0,4,1;4;5;6,
uuid-2569-2005,2569,2005,น้องไอซ์ 2005,ม.3,หาดใหญ่วิทยาลัย,TU,เทป,new,2026-04-14,1,4,1;4;5;6,
uuid-2569-2006,2569,2006,น้องต้นน้ำ 2006,ม.3,สาธิตปทุมวัน,อื่นๆ,สด,new,2026-03-17,0,4,1;4;5;6,
uuid-2569-2007,2569,2007,น้องต้นน้ำ 2007,ม.3,สาธิตปทุมวัน,TU,สด,new,2026-04-10,1,3,1;4;5,
uuid-2569-2008,2569,2008,น้องกันต์ 2008,ม.2,สาธิตปทุมวัน,TU,สด,old,2026-04-06,1,4,1;4;5;6,
uuid-2569-2009,2569,2009,น้องโอม 2009,ม.3,อื่นๆ,MWIT,เทป,new,2026-03-23,0,4,1;4;5;6,
uuid-2569-2010,2569,2010,น้องภูมิ 2010,ม.2,อื่นๆ,TU,สด,new,2026-03-09,0,4,1;4;5;6,
uuid-2569-2011,2569,2011,น้องมายด์ 2011,ม.2,อื่นๆ,TU,เทป,old,2026-03-18,0,2,1;4,
uuid-2569-2012,2569,2012,น้องอิง 2012,ม.3,อื่นๆ,MWIT,สด,new,2026-04-06,1,3,1;5;6,
uuid-2569-2013,2569,2013,น้องกันต์ 2013,ม.2,สวนกุหลาบ,TU,สด,old,2026-03-16,0,3,1;5;6,
uuid-2569-2014,2569,2014,น้องไอซ์ 2014,ม.2,หาดใหญ่วิทยาลัย,TU,สด,old,2026-03-07,0,4,1;4;5;6,
uuid-2569-2015,2569,2015,น้องมายด์ 2015,ม.2,สวนกุหลาบ,MWIT,สด,new,2026-03-06,0,3,1;4;6,
uuid-2569-2016,2569,2016,น้องไอซ์ 2016,ม.3,หาดใหญ่วิทยาลัย,MWIT,สด,new,2026-03-24,0,4,1;4;5;6,
uuid-2569-2017,2569,2017,น้องมายด์ 2017,ม.3,บดินทรเดชา,MWIT,สด,old,2026-03-25,0,4,1;4;5;6,
uuid-2569-2018,2569,2018,น้องมายด์ 2018,ม.3,หาดใหญ่วิทยาลัย,TU,สด,new,2026-03-16,0,4,1;4;5;6,
uuid-2569-2019,2569,2019,น้องพลอย 2019,ม.3,อื่นๆ,TU,เทป,old,2026-03-20,0,4,1;4;5;6,
uuid-2569-2020,2569,2020,น้องไอซ์ 2020,ม.2,อื่นๆ,MWIT,สด,new,2026-03-08,0,4,1;4;5;6,
uuid-2569-2021,2569,2021,น้องเจได 2021,ม.2,อื่นๆ,KVIS,สด,new,2026-03-22,0,4,1;4;5;6,
uuid-2569-2022,2569,2022,น้องพลอย 2022,ม.2,อื่นๆ,TU,เทป,new,2026-03-11,0,3,1;4;5,
uuid-2569-2023,2569,2023,น้องกันต์ 2023,ม.3,อื่นๆ,TU,สด,new,2026-03-13,0,4,1;4;5;6,
uuid-2569-2024,2569,2024,น้องเจได 2024,ม.3,อื่นๆ,MWIT,สด,new,2026-03-05,0,2,4;5,
uuid-2569-2025,2569,2025,น้องอิง 2025,ม.3,สวนกุหลาบ,อื่นๆ,เทป,new,2026-03-25,0,3,4;5;6,
uuid-2569-2026,2569,2026,น้องเจได 2026,ม.3,หาดใหญ่วิทยาลัย,TU,สด,new,2026-03-01,0,4,1;4;5;6,
uuid-2569-2027,2569,2027,น้องอิง 2027,ม.2,อื่นๆ,MWIT,เทป,old,2026-06-11,3,4,1;4;5;6,
uuid-2569-2028,2569,2028,น้องกันต์ 2028,ม.3,อื่นๆ,TU,เทป,new,2026-03-17,0,4,1;4;5;6,
uuid-2569-2029,2569,2029,น้องต้นน้ำ 2029,ม.2,อื่นๆ,TU,สด,new,2026-03-07,0,2,5;6,
uuid-2569-2030,2569,2030,น้องคุน 2030,ม.3,สาธิตปทุมวัน,TU,สด,new,2026-04-06,1,4,1;4;5;6,
uuid-2569-2031,2569,2031,น้องคุน 2031,ม.2,สาธิตปทุมวัน,MWIT,เทป,new,2026-03-01,0,4,1;4;5;6,
uuid-2569-2032,2569,2032,น้องไทเกอร์ 2032,ม.3,หาดใหญ่วิทยาลัย,TU,สด,new,2026-04-04,1,3,1;5;6,
uuid-2569-2033,2569,2033,น้องพลอย 2033,ม.2,บดินทรเดชา,TU,เทป,new,2026-03-23,0,2,4;5,
uuid-2569-2034,2569,2034,น้องมายด์ 2034,ม.3,หาดใหญ่วิทยาลัย,MWIT,เทป,new,2026-04-01,1,4,1;4;5;6,
uuid-2569-2035,2569,2035,น้องเจได 2035,ม.3,อื่นๆ,MWIT,สด,old,2026-04-05,1,3,1;5;6,
uuid-2569-2036,2569,2036,น้องพลอย 2036,ม.2,สวนกุหลาบ,MWIT,สด,new,2026-03-10,0,2,1;6,
uuid-2569-2037,2569,2037,น้องไทเกอร์ 2037,ม.2,อื่นๆ,TU,สด,new,2026-03-18,0,4,1;4;5;6,
uuid-2569-2038,2569,2038,น้องโอม 2038,ม.1,สวนกุหลาบ,KVIS,สด,new,2026-03-04,0,3,1;4;5,
uuid-2569-2039,2569,2039,น้องไทเกอร์ 2039,ม.2,อื่นๆ,TU,เทป,new,2026-03-16,0,4,1;4;5;6,
uuid-2569-2040,2569,2040,น้องอิง 2040,ม.2,อื่นๆ,MWIT,สด,new,2026-06-14,3,4,1;4;5;6,
uuid-2569-2041,2569,2041,น้องภูมิ 2041,ม.2,อื่นๆ,KVIS,สด,old,2026-03-25,0,4,1;4;5;6,
